county_name,population,crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON
"St. Louis city, MO",318416,1791.995377,119,200,1778,3609,4995,13791,3543,464
"Crittenden County, AR",49746,1754.914968,8,38,165,662,1482,1753,189,28
"Alexander County, IL",7629,1664.700485,1,2,5,119,82,184,12,2
"Kenedy County, TX",412,1456.31068,0,3,1,2,5,4,4,0
"De Soto Parish, LA",27083,1447.40243,3,4,17,368,149,494,60,0
"Baltimore city, MD",622104,1419.537569,216,317,3638,4660,7804,18055,4009,251
"Shelby County, TN",939465,1315.003752,135,483,3512,8224,14011,30620,3233,435
"Marlboro County, SC",28003,1253.437132,3,20,32,296,408,1074,67,5
"Storey County, NV",3942,1217.656012,0,7,2,39,23,55,8,2
"District of Columbia, DC",646449,1216.801325,88,236,4037,3505,3519,23575,3663,51
"Dillon County, SC",31229,1165.583272,8,17,48,291,595,1206,105,12
"Scott County, MO",39290,1163.145839,2,7,26,422,236,1002,39,8
"Philadelphia County, PA",1553165,1150.29633,332,881,7984,8669,12004,38595,6401,0
"Pershing County, NV",6877,1148.756725,0,3,1,75,27,43,5,0
"Greenwood County, SC",69723,1140.226324,7,39,73,676,965,2564,122,12
"Madison County, TN",98733,1138.42383,13,33,196,882,1300,2604,180,27
"Davidson County, TN",658602,1129.513728,65,312,1753,5309,5875,20373,1418,100
"Marion County, IN",928281,1083.508119,102,453,3486,6017,15125,29122,4757,414
"Wayne County, MI",1775273,1065.188284,433,803,5879,11795,19882,34706,15251,766
"Jackson County, MO",679996,1026.623686,116,358,1913,4594,9695,25994,4953,318
"Northwest Arctic Borough, AK",7685,1014.964216,0,23,12,43,46,126,38,2
"Pemiscot County, MO",17823,998.7095326,0,6,21,151,192,463,23,2
"Iberville Parish, LA",33367,974.0162436,5,9,26,285,266,928,26,0
"Pulaski County, AR",391284,959.9165823,61,179,1058,2458,7065,18011,1805,130
"Jefferson County, AR",73191,959.1343198,14,42,139,507,1400,2306,255,44
"Miller County, AR",43402,956.1771347,1,9,45,360,488,1597,130,6
"Muskogee County, OK",70303,954.4400666,3,34,41,593,878,1324,142,23
"Barnwell County, SC",22119,953.9310095,5,4,33,169,349,691,74,10
"Tangipahoa Parish, LA",125412,952.8593755,11,64,185,935,2683,4262,218,1
"Marion County, SC",32072,941.6313295,8,12,51,231,771,1060,92,12
"Dillingham Census Area, AK",5010,938.1237525,0,18,1,28,12,55,7,0
"Dougherty County, GA",92969,930.4176661,4,32,240,589,1600,3844,266,13
"Carter County, OK",48491,930.0694974,4,42,37,368,450,1327,109,23
"Genesee County, MI",415376,922.7783984,69,242,980,2542,6105,8311,936,313
"Macon County, AL",19688,919.341731,6,10,25,140,516,640,110,3
"Milwaukee County, WI",956023,912.6349471,103,276,3426,4919,8744,29434,5223,351
"Richland County, SC",399256,911.4452882,24,184,809,2622,4965,12511,2087,51
"Grundy County, TN",13498,911.2461105,3,4,1,115,157,167,63,12
"Greene County, AL",8744,903.4766697,0,2,7,70,48,90,15,12
"Rock County, MN",9520,892.8571429,0,0,0,85,9,52,3,0
"San Joaquin County, CA",704379,887.1644385,89,152,1992,4016,8019,16847,4398,158
"Pottawattamie County, IA",92728,873.5225606,1,79,83,647,1166,3283,567,55
"Nolan County, TX",15037,871.1844118,0,27,10,94,143,345,19,1
"Kodiak Island Borough, AK",14135,856.0311284,0,8,10,103,23,200,31,3
"Winnebago County, IL",290666,854.9331535,15,196,553,1721,2939,7356,492,101
"Suffolk County, MA",755503,831.2342903,60,310,2257,3653,3956,16223,1998,11
"Saginaw County, MI",196542,828.830479,29,126,242,1232,1751,2707,223,56
