CITY,STATE,NAME,COUNTY
ABBEVILLE,LA,1,VERMILION
ABBEVILLE,SC,1,ABBEVILLE
ABERDEEN,MS,1,MONROE
ABERDEEN,SD,3,BROWN
ABERDEEN,WA,2,GRAYS HARBOR
ABILENE,KS,1,DICKINSON
ABILENE,TX,6,TAYLOR
ABINGDON,VA,2,WASHINGTON
ABINGTON,PA,1,MONTGOMERY
ACKERMAN,MS,2,CHOCTAW
ACOMA PUEBLO,NM,1,CIBOLA
ADA,MN,1,NORMAN
ADA,OK,3,PONTOTOC
ADAK,AK,1,ALEUTIANS WEST
ADDISON,TX,1,DALLAS
ADEL,GA,1,COOK
ADRIAN,MI,1,LENAWEE
AFTON,WY,1,LINCOLN
AGUADILLA,PR,1,AGUADILLA
AHOSKIE,NC,1,HERTFORD
AIBONITO,PR,1,AIBONITO
AIEA,HI,1,HONOLULU
AIKEN,SC,1,AIKEN
AINSWORTH,NE,1,BROWN
AITKIN,MN,1,AITKIN
AKRON,OH,7,SUMMIT
ALABASTER,AL,2,SHELBY
ALAMEDA,CA,4,ALAMEDA
ALAMOGORDO,NM,1,OTERO
ALAMOSA,CO,1,ALAMOSA
ALBANY,GA,2,DOUGHERTY
ALBANY,KY,1,CLINTON
ALBANY,MN,1,STEARNS
ALBANY,MO,1,GENTRY
ALBANY,NY,6,ALBANY
ALBANY,OR,1,LINN
ALBEMARLE,NC,1,STANLY
ALBERT LEA,MN,1,FREEBORN
ALBIA,IA,1,MONROE
ALBION,NE,1,BOONE
ALBUQUERQUE,NM,17,BERNALILLO
ALDIE,VA,1,LOUDOUN
ALEDO,IL,1,MERCER
ALEXANDER CITY,AL,1,TALLAPOOSA
ALEXANDRIA,LA,9,RAPIDES
ALEXANDRIA,MN,1,DOUGLAS
ALEXANDRIA,VA,2,['ALEXANDRIA' 'FAIRFAX']
ALEXANDRIA BAY,NY,1,JEFFERSON
ALGONA,IA,1,KOSSUTH
ALHAMBRA,CA,1,LOS ANGELES
ALICE,TX,1,JIM WELLS
ALISO VIEJO,CA,1,ORANGE
ALLEGAN,MI,1,ALLEGAN
ALLEN,TX,2,COLLIN
ALLENTOWN,PA,6,LEHIGH
ALLIANCE,NE,1,BOX BUTTE
ALLIANCE,OH,1,STARK
ALMA,GA,1,BACON
ALMA,MI,1,GRATIOT
ALMA,NE,1,HARLAN
ALPENA,MI,1,ALPENA
ALPINE,TX,1,BREWSTER
ALTAMONTE SPRINGS,FL,2,SEMINOLE
ALTON,IL,3,MADISON
ALTOONA,PA,3,BLAIR
ALTOONA,WI,1,EAU CLAIRE
ALTURAS,CA,1,MODOC
ALTUS,OK,1,JACKSON
ALVA,OK,1,WOODS
AMARILLO,TX,10,['POTTER' 'RANDALL']
AMBLER,PA,1,MONTGOMERY
AMERICAN FALLS,ID,1,POWER
AMERICAN FORK,UT,1,UTAH
AMERICUS,GA,2,SUMTER
AMERY,WI,2,POLK
AMES,IA,1,STORY
AMESBURY,MA,1,ESSEX
AMHERST,OH,1,LORAIN
AMITE,LA,1,TANGIPAHOA
AMITYVILLE,NY,2,SUFFOLK
AMORY,MS,1,MONROE
AMSTERDAM,NY,2,MONTGOMERY
ANACONDA,MT,1,DEER LODGE
ANACORTES,WA,1,SKAGIT
ANADARKO,OK,1,CADDO
ANAHEIM,CA,6,ORANGE
ANAHUAC,TX,1,CHAMBERS
ANAMOSA,IA,2,JONES
ANCHORAGE,AK,9,ANCHORAGE
ANCORA,NJ,1,CAMDEN
ANDALUSIA,AL,1,COVINGTON
ANDERSON,IN,3,MADISON
ANDERSON,SC,4,ANDERSON
ANDOVER,KS,1,BUTLER
ANDREWS,TX,1,ANDREWS
ANGLETON,TX,1,BRAZORIA
ANGOLA,IN,1,STEUBEN
ANN ARBOR,MI,3,WASHTENAW
ANNA,IL,1,UNION
ANNAPOLIS,MD,1,ANNE ARUNDEL
ANNISTON,AL,3,CALHOUN
ANSON,TX,1,JONES
ANTHONY,KS,1,HARPER
ANTIGO,WI,1,LANGLADE
ANTIOCH,CA,2,CONTRA COSTA
ANTLERS,OK,1,PUSHMATAHA
APACHE JUNCTION,AZ,1,PINAL
APALACHICOLA,FL,1,FRANKLIN
APOPKA,FL,1,ORANGE
APPLE VALLEY,CA,1,SAN BERNARDINO
APPLETON,MN,1,SWIFT
APPLETON,WI,2,OUTAGAMIE
APPLETON CITY,MO,1,ST. CLAIR
ARANSAS PASS,TX,1,SAN PATRICIO
ARCADIA,CA,1,LOS ANGELES
ARCADIA,FL,1,DESOTO
ARCADIA,LA,1,BIENVILLE
ARCATA,CA,1,HUMBOLDT
ARCO,ID,1,BUTTE
ARDMORE,OK,1,CARTER
ARECIBO PUEBLO,PR,2,ARECIBO
ARENAS,PR,1,UTUADO
ARKADELPHIA,AR,1,CLARK
ARKANSAS CITY,KS,1,COWLEY
ARLINGTON,GA,1,CALHOUN
ARLINGTON,MN,1,SIBLEY
ARLINGTON,TX,11,TARRANT
ARLINGTON,VA,1,ARLINGTON
ARLINGTON,WA,1,SNOHOMISH
ARLINGTON HEIGHTS,IL,1,COOK
ARMOUR,SD,1,DOUGLAS
ARROYO,PR,1,ARROYO
ARROYO GRANDE,CA,1,SAN LUIS OBISPO
ARTESIA,NM,1,EDDY
ASHDOWN,AR,1,LITTLE RIVER
ASHEBORO,NC,1,RANDOLPH
ASHEVILLE,NC,4,BUNCOMBE
ASHLAND,AL,1,CLAY
ASHLAND,KS,1,CLARK
ASHLAND,KY,2,['GREENUP' 'BOYD']
ASHLAND,OH,1,ASHLAND
ASHLAND,OR,1,JACKSON
ASHLAND,WI,1,ASHLAND
ASHLAND CITY,TN,1,CHEATHAM
ASHLEY,ND,1,MCINTOSH
ASHTABULA,OH,1,ASHTABULA
ASPEN,CO,1,PITKIN
ASPERMONT,TX,1,STONEWALL
ASTORIA,OR,1,CLATSOP
ATASCADERO,CA,1,SAN LUIS OBISPO
ATCHISON,KS,1,ATCHISON
ATHENS,AL,2,LIMESTONE
ATHENS,GA,3,CLARKE
ATHENS,OH,2,ATHENS
ATHENS,TN,1,MCMINN
ATHENS,TX,1,HENDERSON
ATHOL,MA,1,WORCESTER
ATKINSON,NE,1,HOLT
ATLANTA,GA,21,['FULTON' 'DEKALB']
ATLANTA,TX,1,CASS
ATLANTIC,IA,1,CASS
ATLANTIC CITY,NJ,4,ATLANTIC
ATLANTIS,FL,1,PALM BEACH
ATMORE,AL,1,ESCAMBIA
ATOKA,OK,1,ATOKA
ATTLEBORO,MA,2,BRISTOL
ATWOOD,KS,1,RAWLINS
AUBREY,TX,1,DENTON
AUBURN,CA,1,PLACER
AUBURN,IN,2,DEKALB
AUBURN,NE,1,NEMAHA
AUBURN,NY,1,CAYUGA
AUBURN,WA,1,KING
AUDUBON,IA,1,AUDUBON
AUGUSTA,GA,9,RICHMOND
AUGUSTA,ME,5,KENNEBEC
AURORA,CO,5,['ARAPAHOE' 'ADAMS']
AURORA,IL,2,KANE
AURORA,MN,1,ST. LOUIS
AURORA,MO,1,LAWRENCE
AURORA,NE,1,HAMILTON
AUSTELL,GA,1,COBB
AUSTIN,MN,1,MOWER
AUSTIN,TX,28,['TRAVIS' 'WILLIAMSON']
AVALON,CA,1,LOS ANGELES
AVENEL,NJ,1,MIDDLESEX
AVENTURA,FL,1,MIAMI-DADE
AVON,IN,1,HENDRICKS
AVON,OH,3,LORAIN
AVONDALE,AZ,1,MARICOPA
AYER,MA,1,MIDDLESEX
AZLE,TX,1,TARRANT
BAD AXE,MI,1,HURON
BAGLEY,MN,1,CLEARWATER
BAINBRIDGE,GA,1,DECATUR
BAKER,MT,1,FALLON
BAKER CITY,OR,1,BAKER
BAKERSFIELD,CA,10,KERN
BALDIWN,WI,1,SAINT CROIX
BALDWIN,WI,1,ST. CROIX
BALDWIN PARK,CA,2,LOS ANGELES
BALLINGER,TX,1,RUNNELS
BALTIMORE,MD,21,['BALTIMORE CITY' 'BALTIMORE']
BANGOR,ME,4,PENOBSCOT
BANNING,CA,1,RIVERSIDE
BAR HARBOR,ME,1,HANCOCK
BARABOO,WI,1,SAUK
BARBERTON,OH,2,SUMMIT
BARBOURVILLE,KY,1,KNOX
BARDSTOWN,KY,1,NELSON
BARLING,AR,1,SEBASTIAN
BARNESVILLE,OH,1,BELMONT
BARNSTABLE,MA,1,BARNSTABLE
BARNWELL,SC,1,BARNWELL
BARRINGTON,IL,1,LAKE
BARRON,WI,1,BARRON
BARROW,AK,1,NORTH SLOPE
BARSTOW,CA,2,SAN BERNARDINO
BARTLESVILLE,OK,1,WASHINGTON
BARTLETT,TN,1,SHELBY
BARTOW,FL,1,POLK
BASIN,WY,1,BIG HORN
BASSETT,NE,1,ROCK
BASTROP,LA,3,MOREHOUSE
BATAVIA,NY,3,GENESEE
BATAVIA,OH,1,CLERMONT
BATESVILLE,AR,1,INDEPENDENCE
BATESVILLE,IN,1,RIPLEY
BATESVILLE,MS,1,PANOLA
BATH,NY,2,STEUBEN
BATON ROUGE,LA,20,EAST BATON ROUGE
BATTE MTN,NV,1,LANDER
BATTLE CREEK,MI,4,CALHOUN
BAUDETTE,MN,1,LAKE OF THE WOODS
BAXLEY,GA,1,APPLING
BAY CITY,MI,3,BAY
BAY CITY,TX,1,MATAGORDA
BAY MINETTE,AL,1,BALDWIN
BAY PINES,FL,1,PINELLAS
BAY SHORE,NY,1,SUFFOLK
BAY SPRINGS,MS,1,JASPER
BAY ST. LOUIS,MS,1,HANCOCK
BAYAMON,PR,6,BAYAMON
BAYONNE,NJ,1,HUDSON
BAYTOWN,TX,4,HARRIS
BEACHWOOD,OH,2,CUYAHOGA
BEALE AFB,CA,1,YUBA
BEATRICE,NE,2,GAGE
BEAUFORT,SC,2,BEAUFORT
BEAUMONT,TX,9,JEFFERSON
BEAVER,OK,1,BEAVER
BEAVER,PA,2,BEAVER
BEAVER,UT,1,BEAVER
BEAVER DAM,WI,1,DODGE
BEAVERCREEK,OH,1,GREENE
BECKLEY,WV,3,RALEIGH
BEDFORD,IN,2,LAWRENCE
BEDFORD,MA,1,MIDDLESEX
BEDFORD,OH,1,CUYAHOGA
BEDFORD,TX,3,TARRANT
BEDFORD,VA,1,BEDFORD CITY
BEEVILLE,TX,1,BEE
BEL AIR,MD,1,HARFORD
BELCOURT,ND,1,ROLETTE
BELFAST,ME,1,WALDO
BELHAVEN,NC,1,BEAUFORT
BELLAIRE,OH,2,BELMONT
BELLAIRE,TX,2,HARRIS
BELLE GLADE,FL,1,PALM BEACH
BELLE MEAD,NJ,2,SOMERSET
BELLEFONTAINE,OH,1,LOGAN
BELLEROSE,NY,1,QUEENS
BELLEVILLE,IL,2,ST. CLAIR
BELLEVILLE,KS,1,REPUBLIC
BELLEVILLE,NJ,1,ESSEX
BELLEVUE,NE,2,SARPY
BELLEVUE,OH,1,SANDUSKY
BELLEVUE,WA,1,KING
BELLFLOWER,CA,2,LOS ANGELES
BELLINGHAM,WA,2,WHATCOM
BELLVILLE,TX,1,AUSTIN
BELMOND,IA,1,WRIGHT
BELMONT,MA,1,MIDDLESEX
BELMONT,NC,1,GASTON
