City,ActualHouseValue,RandomForestPredictedHouseValue,Lat,Lng
Aguada,87300.0,96130.0,18.36,-67.18
Aguadilla,122300.0,110964.0,18.45,-67.11
Maricao,92700.0,83879.0,18.2,-66.9
Anasco,90300.0,91699.0,18.28,-67.13
Arecibo,97300.0,102105.0,18.4,-66.68
Bajadero,92900.0,91201.0,18.4,-66.68
Barceloneta,101900.0,95512.0,18.44,-66.56
Boqueron,135500.0,118117.0,18.0,-67.16
Cabo Rojo,111800.0,102239.0,18.1,-67.2
Camuy,108300.0,98727.0,18.42,-66.86
Ciales,96500.0,91583.0,18.3,-66.5
Utuado,94200.0,90553.0,18.2,-66.7
Ensenada,84400.0,86389.0,17.98,-66.92
Florida,93900.0,92262.0,18.38,-66.56
Garrochales,98200.0,95202.0,18.46,-66.64
Guanica,89800.0,89009.0,17.98,-66.92
Guayanilla,82200.0,88126.0,18.04,-66.79
Hatillo,97500.0,108594.0,18.41,-66.8
Hormigueros,104700.0,101449.0,18.13,-67.12
Jayuya,90400.0,89811.0,18.23,-66.59
Lares,86400.0,88697.0,18.3,-66.9
Las Marias,73100.0,93088.0,18.24,-66.99
Manati,105900.0,111458.0,18.42,-66.49
Rincon,121900.0,106806.0,18.34,-67.23
Quebradillas,108800.0,97533.0,18.43,-66.93
Mayaguez,92500.0,99147.0,18.2,-67.5
Mayaguez,112800.0,118217.0,18.2,-67.5
San German,95100.0,92707.0,18.11,-67.04
San Sebastian,99800.0,94402.0,18.32,-66.97
Morovis,98000.0,95211.0,18.32,-66.42
Sabana Hoyos,95800.0,94194.0,18.38,-66.62
San Antonio,112900.0,108979.0,18.49,-67.1
Vega Alta,120400.0,110056.0,18.41,-66.34
Vega Baja,114200.0,106847.0,18.42,-66.4
Yauco,91500.0,93515.0,18.1,-66.9
Aguas Buenas,111200.0,105520.0,18.25,-66.13
Aguirre,82200.0,85849.0,17.96,-66.26
Aibonito,109300.0,101906.0,18.13,-66.27
Maunabo,90800.0,89922.0,18.02,-65.92
Arroyo,87500.0,88774.0,18.0,-66.06
Mercedita,82100.0,89240.0,18.0,-65.96
Ponce,112300.0,115796.0,18.0,-66.6
Ponce,103900.0,102146.0,18.0,-66.6
Naguabo,92100.0,97588.0,18.23,-65.74
Naranjito,94700.0,95499.0,18.29,-66.26
Orocovis,89700.0,95435.0,18.22,-66.45
Caguas,125600.0,127385.0,18.2,-66.1
Caguas,143700.0,136339.0,18.2,-66.1
Ponce,97100.0,98220.0,18.0,-66.6
Canovanas,114800.0,112332.0,18.33,-65.88
Ponce,94000.0,104266.0,18.0,-66.6
Ponce,83600.0,94446.0,18.0,-66.6
Ceiba,93500.0,98391.0,18.25,-65.67
Cayey,119100.0,115421.0,18.1,-66.14
Fajardo,103600.0,107456.0,18.3,-65.5
Cidra,117900.0,114447.0,18.18,-66.17
Punta Santiago,85800.0,90544.0,18.17,-65.75
Salinas,87600.0,92725.0,18.03,-66.25
San Lorenzo,111000.0,113225.0,18.15,-65.99
Vieques,104500.0,171844.0,18.1,-65.4
Villalba,93500.0,104589.0,18.13,-66.47
Yabucoa,87700.0,90075.0,18.1,-65.9
Coamo,88500.0,96330.0,18.1,-66.35
Las Piedras,115100.0,110493.0,18.2,-65.87
Loiza,94500.0,92004.0,18.42,-65.91
Luquillo,109200.0,105591.0,18.34,-65.72
Culebra,89900.0,120207.0,18.31,-65.28
Juncos,113100.0,102307.0,18.21,-65.9
Gurabo,147900.0,134442.0,18.26,-65.97
Comerio,89100.0,93446.0,18.22,-66.22
Corozal,88500.0,92714.0,18.3,-66.33
Guayama,90700.0,94859.0,18.01,-66.14
Humacao,99400.0,106438.0,18.14,-65.81
Barranquitas,90600.0,94555.0,18.2,-66.31
Juana Diaz,92500.0,99369.0,18.0,-66.5
San Juan,242200.0,295007.0,18.47,-66.1
San Juan,233800.0,244448.0,18.45,-66.08
San Juan,136200.0,122333.0,18.441,-66.068
San Juan,292500.0,237557.0,18.45,-66.05
San Juan,130400.0,124783.0,18.44,-66.06
San Juan,401400.0,319104.0,18.46,-66.04
San Juan,94200.0,90408.0,18.43,-66.04
San Juan,113100.0,118706.0,18.42,-66.05
San Juan,179800.0,161902.0,18.42,-66.07
San Juan,152800.0,132892.0,18.41,-66.09
San Juan,140900.0,125617.0,18.39,-66.09
San Juan,133100.0,126670.0,18.41,-66.01
San Juan,122600.0,119262.0,18.401,-66.05
Sabana Seca,105800.0,96945.0,18.43,-66.19
Toa Alta,143400.0,146168.0,18.36,-66.26
Bayamon,131000.0,130290.0,18.34,-66.17
Bayamon,133800.0,131636.0,18.34,-66.17
