CITY,NAME,STATE,COUNTY,ZIP
AARONSBURG,3,PA,CENTRE,16820
ABBEVILLE,6,['AL' 'LA' 'SC'],['HENRY' 'VERMILION' 'ABBEVILLE'],[36310 70510 29620]
ABBOTSFORD,1,WI,MARATHON,54405
ABBOTT PARK,1,IL,LAKE,60064
ABBOTTSTOWN,1,PA,YORK,17301
ABERDEEN,11,['MD' 'NC' 'SD' 'WA' 'NJ'],['HARFORD' 'MOORE' 'BROWN' 'GRAYS HARBOR' 'MONMOUTH'],[21001 28315 57401 98520  7747]
ABILENE,5,['KS' 'TX'],['DICKINSON' 'TAYLOR'],[67410 79606 79605]
ABINGDON,1,MD,HARFORD,21009
ABINGTON,8,['PA' 'MA'],['MONTGOMERY' 'PLYMOUTH'],[19001  2351]
ABIQUIU,1,NM,RIO ARRIBA,87510
ABSECON,5,NJ,ATLANTIC,[8205 8201]
ACCOKEEK,1,MD,PRINCE GEORGE'S,20607
ACTON,2,['MA' 'CA'],['MIDDLESEX' 'LOS ANGELES'],[ 1720 93510]
"ACTON,",1,ME,YORK,4001
ACUSHNET,2,MA,BRISTOL,2743
ACWORTH,7,GA,['PAULDING' 'COBB' 'CHEROKEE'],[30101 30102]
ADA,3,MI,KENT,49301
ADAIR VILLAGE,1,OR,BENTON,97330
ADAIRSVILLE,2,GA,BARTOW,30103
ADAMS,4,['WI' 'TN' 'MA' 'MN'],['ADAMS' 'ROBERTSON' 'BERKSHIRE' 'MOWER'],[53910 37010  1220 55909]
ADAMSVILLE,1,OH,MUSKINGUM,43802
ADDISON,5,['IL' 'TX'],['DUPAGE' 'DALLAS'],[60101 75001]
ADEL,1,GA,COOK,31620
ADELPHI,1,MD,PRINCE GEORGE'S,20783
ADELPHIA,1,NJ,MONMOUTH,7710
ADKINS,1,TX,BEXAR,78101
ADRIAN,7,MI,LENAWEE,49221
ADVANCE,1,IN,BOONE,46102
AFFTON,2,MO,ST. LOUIS,63123
AFTON,2,VA,['ALBEMARLE' 'NELSON'],22920
AGOURA,2,CA,LOS ANGELES,91301
AGOURA HILLS,2,CA,LOS ANGELES,91301
AHOSKIE,2,NC,HERTFORD,27910
AIEA,3,HI,HONOLULU,96701
AIKEN,9,SC,AIKEN,[29801 29803]
AIRMONT,6,NY,ROCKLAND,10952
AIRVILLE,2,PA,YORK,17302
AKRON,22,['OH' 'PA'],['SUMMIT' 'LANCASTER'],[44306 44313 44312 44320 44310 44319 44301 44303 44311 17501 44333]
ALABASTER,4,AL,SHELBY,35007
ALACHUA,3,FL,ALACHUA,32615
ALAMEDA,15,CA,ALAMEDA,[94501 94502]
ALAMO,2,['TX' 'NM'],['HIDALGO' 'SOCORRO'],[78516 87825]
ALAMOGORDO,3,NM,OTERO,88310
ALAMOSA,2,CO,ALAMOSA,81101
ALBANY,43,['WI' 'NY' 'GA' 'CA' 'MN' 'NH' 'OR'],['GREEN' 'ALBANY' 'DOUGHERTY' 'ALAMEDA' 'STEARNS' 'CARROLL' 'LINN'],"[53502 12210 12202 31705 94706 31707 56307  3818 12208 12203 12205 12206
 97321 97322 31721 12209]"
ALBERT LEA,1,MN,FREEBORN,56007
ALBERTON,1,MT,MISSOULA,59820
ALBERTSON,1,NY,NASSAU,11507
ALBERTVILLE,1,AL,MARSHALL,35951
ALBION,4,['IN' 'NE' 'PA' 'MI'],['NOBLE' 'BOONE' 'ERIE' 'CALHOUN'],[46701 68620 16401 49224]
ALBUQUERQUE,62,NM,BERNALILLO,"[87114 87110 87112 87111 87120 87104 87107 87121 87109 87102 87108 87105
 87106 87113 87122]"
ALDEN,1,NY,ERIE,14004
ALDIE,3,VA,LOUDOUN,20105
ALEDO,2,['TX' 'IL'],['PARKER' 'MERCER'],[76008 61231]
ALEXANDER,1,AR,SALINE,72002
ALEXANDER CITY,1,AL,TALLAPOOSA,35010
ALEXANDRIA,51,['VA' 'LA' 'KY' 'IN' 'MN'],['ALEXANDRIA' 'FAIRFAX' 'RAPIDES' 'CAMPBELL' 'MADISON' 'DOUGLAS'],"[22302 22301 22308 71302 41001 46001 71303 71307 71301 56308 22310 22309
 22306 22315 22303 22312 22314 22305 22304]"
ALGOMA,3,WI,KEWAUNEE,54201
ALGONA,2,IA,KOSSUTH,50511
ALGONQUIN,4,IL,MCHENRY,60102
ALHAMBRA,17,CA,LOS ANGELES,[91801 91803]
ALICE,3,TX,JIM WELLS,78332
ALIQUIPPA,5,PA,BEAVER,15001
ALISO VEJO,1,CA,ORANGE,92637
ALISO VIEJO,7,CA,ORANGE,92656
ALLEN,10,['TX' 'KY'],['COLLIN' 'FLOYD'],[75002 75013 41601]
ALLEN PARK,4,MI,WAYNE,48101
ALLENDALE,1,MI,OTTAWA,49401
ALLENSTOWN,2,NH,MERRIMACK,3275
ALLENSVILLE,6,PA,['HUNTINGDON' 'MIFFLIN'],17002
ALLENTOWN,25,['PA' 'NJ'],['LEHIGH' 'MONMOUTH'],[18102 18106 18104 18101 18103 18109  8501]
ALLENWOOD,3,PA,LYCOMING,17810
ALLIANCE,4,['NE' 'OH'],['BOX BUTTE' 'STARK'],[69301 44601]
ALLISON PARK,5,PA,ALLEGHENY,15101
ALLOWAY,1,NJ,SALEM,8001
ALLOY,1,WV,FAYETTE,25002
ALLSTON,1,MA,SUFFOLK,2134
ALMA,5,['KS' 'MO' 'MI' 'CO'],['WABAUNSEE' 'LAFAYETTE' 'GRATIOT' 'PARK'],[66401 64001 48801 80420]
ALMENA,1,WI,BARRON,54805
ALNA,1,ME,LINCOLN,4535
ALOHA,5,OR,WASHINGTON,[97078 97007 97006]
ALPENA,3,MI,ALPENA,49707
ALPHARETTA,17,GA,['FULTON' 'FORSYTH'],[30009 30005 30004 30022]
ALPINE,2,TX,BREWSTER,[79831 79830]
ALSIP,1,IL,COOK,60803
ALSTEAD,1,NH,CHESHIRE,3602
ALTA LOMA,3,CA,SAN BERNARDINO,[91737 91701]
ALTADENA,10,CA,LOS ANGELES,91001
ALTAMONT,2,['IL' 'NY'],['EFFINGHAM' 'ALBANY'],[62411 12009]
ALTAMONTE SPRINGS,7,FL,SEMINOLE,[32714 32701]
ALTON,6,IL,MADISON,62002
ALTOONA,14,['PA' 'WI'],['BLAIR' 'EAU CLAIRE'],[16602 16601 54720]
ALTURAS,1,CA,MODOC,96101
ALTUS,1,OK,JACKSON,73521
ALVIN,1,TX,BRAZORIA,77511
AMARGOSA VALLEY,1,NV,NYE,89020
AMARILLO,9,TX,['RANDALL' 'POTTER'],[79110 79119 79106 79102 79118]
AMBERG,1,WI,MARINETTE,54102
AMBLER,5,PA,MONTGOMERY,19002
AMELIA,1,OH,CLERMONT,45102
AMELIA COURT HOUSE,2,VA,AMELIA,23002
AMENIA,2,NY,DUTCHESS,12501
AMERICAN CANYON,2,CA,NAPA,94503
AMERICAN FORK,2,UT,UTAH,84003
AMERICUS,2,GA,SUMTER,31709
AMES,2,IA,STORY,50010
AMESBURY,1,MA,ESSEX,1913
AMHERST,15,['NY' 'MA' 'NH' 'OH'],['ERIE' 'HAMPSHIRE' 'HILLSBOROUGH' 'LORAIN'],[14228  1002 14226  3031 44001]
AMITE,2,LA,TANGIPAHOA,70422
AMITYVILLE,2,NY,SUFFOLK,11701
AMMON,1,ID,BONNEVILLE,83401
AMORY,1,MS,MONROE,38821
AMSTERDAM,1,NY,MONTGOMERY,12010
ANACORTES,2,WA,SKAGIT,98221
ANAHEIM,45,CA,ORANGE,[92808 92806 92805 92807 92802 92801 92804]
ANAMOSA,1,IA,JONES,52205
ANCHORAGE,16,AK,ANCHORAGE,[99507 99517 99504 99502 99518 99516 99503 99515 99501]
ANDALUSIA,1,AL,COVINGTON,36420
ANDERSON,17,['CA' 'IN' 'SC'],['SHASTA' 'MADISON' 'ANDERSON'],[96007 46013 46011 46012 46016 29621 29625]
ANDOVER,14,['MA' 'OH' 'NH' 'NJ' 'MN'],['ESSEX' 'ASHTABULA' 'MERRIMACK' 'SUSSEX' 'ANOKA'],[ 1810 44003  3216  7821 55304]
ANGELICA,1,NY,ALLEGANY,14709
ANGELS CAMP,1,CA,CALAVERAS,95222
ANGIER,1,NC,JOHNSTON,27501
ANGLETON,1,TX,BRAZORIA,77515
ANGWIN,2,CA,NAPA,94508
ANKENY,1,IA,POLK,50023
ANN ARBOR,26,MI,WASHTENAW,[48108 48105 48103 48104]
ANNA,1,TX,COLLIN,75409
ANNANDALE,14,['NJ' 'VA'],['HUNTERDON' 'FAIRFAX'],[ 8801 22003]
ANNAPOLIS,14,MD,ANNE ARUNDEL,[21401 21409 21403 21402]
ANNISTON,2,AL,CALHOUN,36207
ANNVILLE,1,KY,JACKSON,40402
ANOKA,3,MN,ANOKA,55303
ANSONIA,2,CT,NEW HAVEN,6401
ANTELOPE,1,CA,SACRAMENTO,95843
ANTHEM,1,AZ,MARICOPA,85086
ANTHONY,1,NM,DONA ANA,88021
ANTIGO,2,WI,LANGLADE,54409
ANTIOCH,13,['CA' 'TN' 'IL'],['CONTRA COSTA' 'DAVIDSON' 'LAKE'],[94531 94509 37013 60002]
ANZA,1,CA,RIVERSIDE,92539
APACHE JUNCTION,2,AZ,['MARICOPA' 'PINAL'],[85120 85119]
APALACHICOLA,1,FL,FRANKLIN,32320
APEX,3,NC,WAKE,[27502 27523]
APISON,1,TN,HAMILTON,37302
APOLLO,2,PA,ARMSTRONG,15613
APOPKA,10,FL,['ORANGE' 'SEMINOLE'],[32703 32704 32712]
APPLE CREEK,29,OH,WAYNE,44606
APPLE VALLEY,8,['CA' 'MN'],['SAN BERNARDINO' 'DAKOTA'],[92308 92307 55124]
APPLETON,15,WI,OUTAGAMIE,[54911 54915 54913 54914]
APPOMATTOX,1,VA,APPOMATTOX,24522
APTOS,6,CA,SANTA CRUZ,95003
AQUEBOGUE,2,NY,SUFFOLK,11931
ARBUTUS,1,MD,BALTIMORE,21227
ARCADIA,15,['CA' 'FL' 'WI'],['LOS ANGELES' 'DESOTO' 'TREMPEALEAU'],[91006 34266 91007 54612]
ARCATA,4,CA,HUMBOLDT,95521
ARCH CAPE,1,OR,CLATSOP,97102
ARCHDALE,1,NC,RANDOLPH,27263
ARCHER,2,FL,ALACHUA,32618
ARCO,2,ID,BUTTE,83213
ARCOLA,2,['IL' 'MS'],['DOUGLAS' 'WASHINGTON'],[61910 38722]
ARDEN,4,NC,BUNCOMBE,28704
ARDMORE,7,['OK' 'PA'],['CARTER' 'MONTGOMERY'],[73401 19003]
ARDSLEY,1,NY,WESTCHESTER,10502
ARENZVILLE,1,IL,CASS,62611
ARGYLE,1,TX,DENTON,76226
ARKADELPHIA,1,AR,CLARK,71923
ARKANSAS CITY,2,KS,COWLEY,67005
ARLEE,1,MT,LAKE,59821
ARLETA,2,CA,LOS ANGELES,91331
ARLINGTON,56,['VA' 'TX' 'WA' 'MN' 'MA' 'NE' 'TN'],"['ARLINGTON' 'TARRANT' 'SNOHOMISH' 'SIBLEY' 'MIDDLESEX' 'WASHINGTON'
 'SHELBY']","[22204 22201 76018 76001 98223 76010 55307  2474  2476 68002 76017 76013
 76011 76016 38002 22207 22205 22203 76006 22209 76015 76014 76012 22213]"
ARLINGTON HEIGHTS,13,IL,COOK,[60004 60005]
ARMONA,1,CA,KINGS,93202
ARMONK,1,NY,WESTCHESTER,10504
ARNOLD,6,['MD' 'MO'],['ANNE ARUNDEL' 'JEFFERSON'],[21012 63010]
ARODA,1,VA,MADISON,22709
ARPIN,1,WI,WOOD,54410
ARROYO GRANDE,4,CA,SAN LUIS OBISPO,93420
ARTESIA,2,CA,LOS ANGELES,90701
ARTHUR,5,IL,['DOUGLAS' 'MOULTRIE'],61911
ARUNDEL,1,ME,YORK,4046
ARVADA,6,CO,JEFFERSON,[80004 80007 80002]
ASBURY PARK,2,NJ,MONMOUTH,7712
ASHBURN,13,VA,LOUDOUN,[20147 20148]
ASHBURNHAM,1,MA,WORCESTER,1430
ASHBY,1,MN,GRANT,56309
ASHDOWN,1,AR,LITTLE RIVER,71822
ASHEBORO,4,NC,RANDOLPH,[27203 27205]
ASHEVILLE,22,NC,['PIMA' 'BUNCOMBE'],[28805 28806 28804 28801 28803 28816]
ASHFORD,1,AL,HOUSTON,36312
ASHLAND,19,['VA' 'AL' 'KY' 'MA' 'MT' 'OH' 'OR' 'WI'],['HANOVER' 'CLAY' 'BOYD' 'MIDDLESEX' 'ROSEBUD' 'ASHLAND' 'JACKSON'],[23005 36251 41101  1721 59003 44805 97520 54806 41102]
ASHLAND CITY,1,TN,MONTGOMERY,37015
ASHTABULA,3,OH,ASHTABULA,44004
ASHTON,1,MD,MONTGOMERY,20861
ASHVILLE,1,AL,ST. CLAIR,35953
ASPEN,1,CO,PITKIN,81611
ASSONET,1,MA,BRISTOL,2702
ASSUMPTION,1,IL,CHRISTIAN,62510
ASTON,5,PA,DELAWARE,19014
ASTORIA,11,NY,QUEENS,[11105 11102 11103 11106]
ATASCADERO,2,CA,SAN LUIS OBISPO,93422
ATCHISON,3,KS,ATCHISON,66002
ATCO,2,NJ,CAMDEN,8004
ATGLEN,2,PA,CHESTER,19310
ATHENS,19,['TX' 'GA' 'AL' 'LA' 'MI' 'TN' 'WI'],"['HENDERSON' 'CLARKE' 'LIMESTONE' 'CLAIBORNE' 'ST. JOSEPH' 'MCMINN'
 'MARATHON' 'OCONEE']",[75751 30601 35611 30606 30605 71003 49011 37303 54411 35613]
ATHERTON,1,CA,SAN MATEO,94027
ATKINSON,2,['NH' 'NE'],['ROCKINGHAM' 'HOLT'],[ 3811 68713]
ATKINSON RD,1,CA,SONOMA,95472
ATLANTA,95,GA,['FULTON' 'DEKALB' 'GWINNETT' 'COBB'],"[30314 30324 30308 30318 30307 30315 31107 30338 30345 30350 30329 30331
 30328 30305 30319 30341 30316 30340 30342 30312 30327 30309 30360 30311
 30339 30306 30310]"
ATLANTIC,5,PA,CRAWFORD,16111
ATLANTIC BEACH,2,FL,DUVAL,32233
ATLANTIC CITY,2,NJ,ATLANTIC,8401
ATLANTIC HIGHLANDS,2,NJ,MONMOUTH,7716
ATMORE,3,AL,ESCAMBIA,36502
ATTLEBORO,4,MA,BRISTOL,2703
ATWATER,4,CA,MERCED,95301
AU SABLE FORKS,1,NY,ESSEX,12912
AUBERRY,1,CA,FRESNO,93602
AUBURN,37,['WA' 'AL' 'NY' 'KY' 'CA' 'IN' 'MA' 'MI' 'NH' 'GA' 'ME'],"['KING' 'LEE' 'CAYUGA' 'LOGAN' 'PLACER' 'DEKALB' 'WORCESTER' 'BAY'
 'ROCKINGHAM' 'BARROW' 'NEVADA' 'ANDROSCOGGIN']","[98001 98002 36830 13021 42206 95603 46706  1501 48611  3032 98092 30011
 95602  4210]"
AUBURN HILLS,4,MI,OAKLAND,48326
AUDUBON,3,PA,MONTGOMERY,[19407 19403]
AUGUSTA,27,['GA' 'KS' 'KY' 'ME' 'WI' 'NJ'],['RICHMOND' 'COLUMBIA' 'BUTLER' 'BRACKEN' 'KENNEBEC' 'EAU CLAIRE' 'SUSSEX'],[30906 30909 30904 30907 30901 67010 41002  4330 54722  7822]
AULTMAN,1,PA,INDIANA,15713
AUMSVILLE,1,OR,MARION,97325
AURORA,52,['CO' 'IL' 'IN' 'NY' 'OH' 'MO'],"['ARAPAHOE' 'ADAMS' 'DUPAGE' 'KANE' 'DEARBORN' 'CAYUGA' 'PORTAGE'
 'LAWRENCE']","[80014 80010 80015 80016 80011 80013 60504 60502 60505 60506 47001 13026
 44202 65605 80012 80018]"
AUSTELL,3,GA,COBB,[30106 30168]
AUSTIN,107,['TX' 'MN'],['TRAVIS' 'WILLIAMSON' 'HAYS' 'MOWER'],"[78748 78723 78757 78717 78759 78737 78704 78750 78738 78722 78705 78751
 78732 78734 78745 78754 78726 78739 78727 55912 78756 78703 78701 78753
 78752 78735 78731 78746 78730 78758 78728 78741 78736 78721 78749 78733]"
AUSTINBURG,1,OH,ASHTABULA,44010
AUSTINTOWN,1,OH,MAHONING,44515
AVA,2,MO,DOUGLAS,65608
AVE MARIA,2,FL,COLLIER,34142
AVENTURA,1,FL,MIAMI-DADE,33180
AVILLA,2,IN,NOBLE,46710
AVIS,1,PA,CLINTON,17721
AVON,13,['CT' 'IN' 'MA' 'NY' 'OH' 'CO'],['HARTFORD' 'HENDRICKS' 'NORFOLK' 'LIVINGSTON' 'LORAIN' 'EAGLE'],[ 6001 46123  2322 14414 44011 81620]
AVON LAKE,2,OH,LORAIN,44012
AVON PARK,4,FL,HIGHLANDS,33825
AVONDALE,3,AZ,MARICOPA,85392
AXTELL,1,KS,MARSHALL,66403
AXTON,2,VA,HENRY,24054
AZLE,1,TX,PARKER,76020
AZUSA,2,CA,LOS ANGELES,91702
BABYLON,2,NY,SUFFOLK,11702
BADEN,2,PA,BEAVER,15005
BAINBRIDGE,2,['OH' 'GA'],['ROSS' 'DECATUR'],[45612 39819]
BAINBRIDGE IS.,1,WA,KITSAP,98110
BAINBRIDGE ISLAND,8,WA,KITSAP,98110
BAKER,2,LA,EAST BATON ROUGE,70714
BAKER CITY,2,OR,BAKER,97814
BAKERSFIELD,27,CA,KERN,[93314 93308 93304 93386 93311 93301 93312 93309 93313 93305 93306 93307]
BALA CYNWYD,6,PA,MONTGOMERY,19004
BALCH SPRINGS,1,TX,DALLAS,75180
BALDWIN,3,['WI' 'FL' 'NY'],['ST. CROIX' 'DUVAL' 'NASSAU'],[54002 32234 11510]
BALDWIN PARK,4,CA,LOS ANGELES,91706
BALDWINSVILLE,3,NY,ONONDAGA,13027
BALDWINVILLE,1,MA,WORCESTER,1436
BALLARD,2,WV,MONROE,24918
BALLSTON SPA,2,NY,SARATOGA,12020
BALLWIN,3,MO,ST. LOUIS,[63021 63011]
BALLY,1,PA,BERKS,19503
BALSAM,1,NC,JACKSON,28707
BALTIC,23,['CT' 'OH'],['NEW LONDON' 'HOLMES' 'TUSCARAWAS' 'COSHOCTON'],[ 6330 43804]
BALTIMORE,135,MD,['BALTIMORE CITY' 'BALTIMORE'],"[21212 21209 21225 21224 21207 21211 21208 21228 21222 21229 21237 21236
 21206 21244 21286 21227 21210 21215 21218 21239 21205 21223 21213 21214
 21231 21202 21230 21201 21234 21204 21217]"
BANCROFT,1,IA,KOSSUTH,50517
BANDON,1,OR,COOS,97411
BANGOR,10,['CA' 'ME' 'MI' 'WI' 'PA'],['BUTTE' 'PENOBSCOT' 'VAN BUREN' 'LA CROSSE' 'NORTHAMPTON'],[95914  4401 49013 54614 18013]
BANKS,1,OR,WASHINGTON,97106
BANNING,2,CA,RIVERSIDE,92220
BAPCHULE,1,AZ,PINAL,85121
BARABOO,3,WI,SAUK,53913
BARAGA,1,MI,BARAGA,49908
BARBERTON,1,OH,SUMMIT,44203
BARDONIA,1,NY,ROCKLAND,10954
BARDSTOWN,4,KY,NELSON,40004
BARGERSVILLE,1,IN,JOHNSON,46106
BARNESVILLE,3,['OH' 'MD'],['BELMONT' 'MONTGOMERY'],[43713 20838]
BARNHART,1,MO,JEFFERSON,63012
BARNSTABLE,1,MA,BARNSTABLE,2630
BARRE,4,['MA' 'VT'],['WORCESTER' 'WASHINGTON'],[1005 5641]
BARRINGTON,12,['IL' 'NJ' 'RI' 'NH'],['COOK' 'LAKE' 'CAMDEN' 'BRISTOL' 'STRAFFORD'],[60010  8007  2806  3825]
BARRON,3,WI,BARRON,54812
BARRYTON,1,MI,MECOSTA,49305
BARRYVILLE,1,NY,SULLIVAN,12719
BARSTOW,2,CA,SAN BERNARDINO,92311
BARTLESVILLE,3,OK,WASHINGTON,[74003 74006]
BARTLETT,8,['IL' 'TN'],['DUPAGE' 'SHELBY' 'COOK'],[60103 38134 38133 38135]
BARTON,1,VT,ORLEANS,5822
BARTONVILLE,1,TX,DENTON,76226
BARTOW,2,FL,POLK,33830
BASKING RIDGE,9,NJ,SOMERSET,7920
BASTROP,2,['LA' 'TX'],['MOREHOUSE' 'BASTROP'],[71220 78602]
BATAVIA,7,['IL' 'NY'],['KANE' 'GENESEE'],[60510 14020]
BATESBURG,3,SC,['AIKEN' 'SALUDA'],29006
BATESVILLE,4,['IN' 'MS' 'AR'],['RIPLEY' 'PANOLA' 'INDEPENDENCE'],[47006 38606 72501]
BATH,6,['NY' 'PA' 'ME'],['STEUBEN' 'NORTHAMPTON' 'SAGADAHOC'],[14810 18014  4530]
BATON ROUGE,53,LA,EAST BATON ROUGE,"[70816 70806 70820 70802 70808 70817 70805 70809 70815 70810 70807 70819
 70814]"
BATTLE CREEK,9,['MI' 'NE'],['CALHOUN' 'MADISON'],[49037 49017 49015 68715]
BATTLE GROUND,3,WA,CLARK,98604
BAXLEY,1,GA,APPLING,31513
BAXTER,1,MN,CROW WING,56425
BAY CITY,13,['MI' 'TX'],['BAY' 'MATAGORDA'],[48706 48708 77414]
BAY SHORE,4,NY,SUFFOLK,11706
BAY SPRINGS,1,MS,JASPER,39422
BAY ST LOUIS,3,MS,HANCOCK,39520
BAY VILLAGE,1,OH,CUYAHOGA,44140
BAYONNE,4,NJ,HUDSON,7002
BAYSIDE,7,['CA' 'NY'],['HUMBOLDT' 'QUEENS'],[95524 11360 11361]
BAYTOWN,4,TX,HARRIS,[77520 77521]
BAYVILLE,1,NJ,OCEAN,8721
BEACH CITY,2,OH,STARK,44608
